Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Class
0.083048,0.063974,0.04036,0.27734,0.11216,0.04492,5
0.082767,0.064167,0.041026,0.28594,0.117527,0.046845,4
0.083185,0.064195,0.039808,0.277274,0.115003,0.044253,4
0.083026,0.065093,0.040581,0.298281,0.120943,0.046236,4
0.085368,0.065722,0.039733,0.290589,0.125819,0.049418,3
0.081551,0.066218,0.040021,0.269076,0.105717,0.041276,5
0.085421,0.06638,0.039613,0.295809,0.129122,0.049437,5
0.085887,0.066664,0.040439,0.314992,0.125192,0.047217,5
0.083143,0.066796,0.040812,0.316847,0.11755,0.045126,4
0.084852,0.066983,0.045795,0.228933,0.122042,0.057599,3
0.0862,0.067084,0.040971,0.295813,0.122974,0.049331,5
0.08435,0.067137,0.043197,0.29657,0.110392,0.041834,4
0.085959,0.067145,0.039553,0.30729,0.119945,0.044468,5
0.083532,0.067243,0.041596,0.305826,0.120758,0.047921,3
0.084366,0.067277,0.041914,0.335014,0.124835,0.047159,3
0.086039,0.06728,0.040924,0.307562,0.13553,0.0531,5
0.083529,0.067404,0.041561,0.307722,0.129126,0.052311,3
0.083973,0.067527,0.043513,0.293241,0.120604,0.049208,4
0.085276,0.067587,0.043951,0.287732,0.115199,0.046451,5
0.08614,0.067681,0.040912,0.306948,0.134615,0.053173,5
0.084077,0.067777,0.04195,0.294314,0.11655,0.045744,3
0.084717,0.067787,0.043099,0.319839,0.143365,0.059743,4
0.08409,0.067792,0.044196,0.28379,0.131251,0.056063,4
0.083726,0.067809,0.046653,0.226129,0.11245,0.051487,4
0.085208,0.067822,0.039953,0.306817,0.129879,0.050155,4
0.082164,0.06795,0.039936,0.292771,0.11327,0.044083,5
0.082892,0.067979,0.041396,0.287062,0.120195,0.04908,3
0.089176,0.067991,0.042614,0.310073,0.118487,0.044006,5
0.083106,0.068021,0.042541,0.283123,0.113191,0.04577,5
0.085856,0.068078,0.041848,0.322265,0.139938,0.056572,5
0.086185,0.068095,0.040123,0.323945,0.130334,0.04944,5
0.086145,0.068139,0.043286,0.31613,0.120019,0.046594,4
0.089408,0.068169,0.043068,0.319921,0.126706,0.048385,4
0.082777,0.068194,0.042389,0.267827,0.126768,0.054334,3
0.086252,0.068242,0.041572,0.31279,0.131246,0.051443,4
0.089506,0.068388,0.041821,0.310457,0.122019,0.045736,5
0.090866,0.068399,0.043919,0.276642,0.120494,0.044753,5
0.083586,0.068478,0.043855,0.271999,0.107941,0.044153,4
0.086859,0.068603,0.041732,0.330341,0.140027,0.05701,4
0.087477,0.06864,0.042646,0.330079,0.150459,0.061673,4
0.086141,0.068696,0.04094,0.322514,0.133488,0.051686,3
0.083925,0.068723,0.041381,0.328523,0.154824,0.06264,3
0.083322,0.068725,0.042481,0.29757,0.136576,0.056901,3
0.084293,0.068766,0.04603,0.251027,0.120193,0.053022,3
0.088828,0.068775,0.04252,0.326321,0.127804,0.048884,5
0.089056,0.06879,0.042666,0.323337,0.139678,0.054563,5
0.086458,0.068809,0.041187,0.304302,0.131942,0.051979,4
0.083399,0.06889,0.043228,0.276603,0.116441,0.049764,3
0.086429,0.068939,0.041961,0.32836,0.136021,0.052633,4
0.086778,0.069006,0.042217,0.327974,0.13551,0.05389,4
0.086601,0.069033,0.041647,0.318307,0.129785,0.050435,4
0.08587,0.069037,0.042218,0.308778,0.139857,0.058158,5
0.086636,0.069047,0.042165,0.318748,0.135954,0.052973,4
0.083585,0.069171,0.044994,0.265437,0.115098,0.048777,3
0.089413,0.069198,0.043994,0.300937,0.126566,0.051023,4
0.08881,0.069302,0.041609,0.336519,0.146986,0.057304,5
0.086641,0.069339,0.042207,0.321665,0.140553,0.057074,4
0.084194,0.069369,0.042189,0.323828,0.12675,0.048398,3
0.089029,0.069372,0.044261,0.296533,0.114932,0.045627,5
0.088266,0.069379,0.043062,0.339895,0.135227,0.051524,5
0.089439,0.069412,0.043456,0.321356,0.119868,0.044375,5
0.089045,0.06962,0.043507,0.303494,0.140366,0.056297,4
0.090231,0.069692,0.04367,0.298382,0.110797,0.042128,5
0.089689,0.0697,0.044027,0.324543,0.135535,0.053464,5
0.08488,0.069867,0.044514,0.279856,0.115376,0.046715,3
0.084421,0.070123,0.0442,0.298709,0.150104,0.065175,4
0.089603,0.070229,0.042661,0.325336,0.135029,0.051222,5
0.089104,0.070254,0.043847,0.332964,0.12462,0.048276,5
0.089882,0.07029,0.043583,0.310076,0.122141,0.046395,5
0.090218,0.070291,0.043719,0.319722,0.128549,0.048834,4
0.089697,0.070324,0.044243,0.319947,0.128787,0.049927,4
0.08943,0.070353,0.043777,0.333325,0.124877,0.046002,5
0.089891,0.070356,0.043826,0.326586,0.140594,0.05603,5
0.090563,0.070396,0.044517,0.321419,0.122733,0.046114,5
0.089684,0.070401,0.044827,0.290836,0.151834,0.064018,4
0.086934,0.070444,0.042205,0.340058,0.141141,0.055655,5
0.090707,0.070519,0.044743,0.299206,0.130744,0.051503,4
0.086453,0.070543,0.043119,0.343796,0.162645,0.065739,5
0.08782,0.070597,0.04636,0.334616,0.15689,0.065166,3
0.089499,0.070636,0.042416,0.364488,0.155212,0.060836,5
0.085501,0.070652,0.042986,0.340771,0.154276,0.062124,3
0.085238,0.070688,0.044662,0.30299,0.127921,0.053396,3
0.089967,0.070739,0.044233,0.351012,0.155458,0.061849,5
0.089218,0.070782,0.044281,0.33857,0.12394,0.046486,5
0.086702,0.070821,0.042696,0.335941,0.145264,0.057428,5
0.086474,0.070888,0.044677,0.319906,0.14486,0.059848,3
0.086671,0.070962,0.042495,0.384402,0.163584,0.063972,4
0.089731,0.070981,0.044292,0.344741,0.139428,0.055123,4
0.088948,0.071019,0.043925,0.32766,0.129701,0.051054,4
0.086543,0.071023,0.049302,0.268975,0.135757,0.063118,2
0.087752,0.071049,0.042701,0.370846,0.161005,0.063833,5
0.085764,0.071101,0.046875,0.30976,0.154796,0.069092,2
0.089076,0.071117,0.043379,0.312998,0.146473,0.059536,4
0.091263,0.071122,0.04392,0.350959,0.140335,0.052842,5
0.089758,0.071152,0.044601,0.316314,0.120754,0.044881,5
0.089904,0.071153,0.044345,0.316852,0.112538,0.042478,5
0.090729,0.071199,0.044004,0.346629,0.140922,0.054562,5
0.089821,0.071209,0.044935,0.327732,0.132138,0.049973,5
0.086759,0.071219,0.042132,0.328522,0.136778,0.054056,4
0.086766,0.071231,0.041675,0.323054,0.135839,0.053695,4
0.085357,0.071246,0.045227,0.313498,0.154042,0.066449,3
0.087663,0.071253,0.05095,0.266183,0.127483,0.061502,2
0.086177,0.071263,0.043704,0.33561,0.136127,0.052558,3
0.090527,0.071264,0.044142,0.331994,0.127164,0.047706,5
0.08969,0.071344,0.043531,0.302144,0.151331,0.06126,3
0.088131,0.07135,0.043216,0.325889,0.131776,0.051123,4
0.086308,0.071397,0.041551,0.306154,0.126935,0.050106,5
0.086636,0.071421,0.046773,0.302245,0.133106,0.060591,3
0.087951,0.071446,0.045143,0.361269,0.15935,0.067877,4
0.085374,0.071471,0.047132,0.277913,0.123502,0.054993,2
0.089001,0.071569,0.044126,0.341561,0.140333,0.054726,3
0.091629,0.071656,0.0436,0.350596,0.150812,0.057674,5
0.090844,0.071662,0.045671,0.315087,0.126904,0.050858,4
0.085413,0.071716,0.043298,0.326078,0.126693,0.048638,3
0.087475,0.071941,0.044342,0.343467,0.159793,0.064791,5
0.0913,0.071964,0.04409,0.337937,0.132466,0.051208,5
0.08598,0.072037,0.045981,0.315214,0.136819,0.057161,4
0.090569,0.072089,0.043626,0.363012,0.16036,0.061055,5
0.090385,0.072107,0.044879,0.349328,0.145746,0.058223,4
0.088707,0.072108,0.043214,0.332863,0.143427,0.057586,4
0.087645,0.072131,0.043404,0.337771,0.144014,0.057065,4
0.087761,0.072134,0.042715,0.335144,0.142017,0.054953,5
0.091601,0.072135,0.046528,0.324917,0.125556,0.049553,4
0.091902,0.072188,0.045577,0.336558,0.142138,0.054254,4
0.090193,0.072272,0.04352,0.304856,0.155391,0.063156,3
0.090961,0.072277,0.047888,0.288823,0.165589,0.076399,3
0.088579,0.072374,0.044058,0.355642,0.14383,0.056897,4
0.089163,0.072424,0.04323,0.329137,0.137357,0.054388,5
0.089921,0.072439,0.056942,0.253385,0.138889,0.076573,1
0.090335,0.072447,0.043958,0.386419,0.172061,0.066792,5
0.08809,0.07246,0.046848,0.326083,0.147538,0.066501,2
0.087542,0.072466,0.044501,0.350945,0.165254,0.066808,5
0.08984,0.072486,0.043825,0.339207,0.150522,0.059526,2
0.087973,0.072502,0.042497,0.356521,0.171018,0.067658,5
0.089591,0.072503,0.044617,0.32728,0.14018,0.055173,4
0.091209,0.072519,0.044967,0.369247,0.134541,0.050629,5
0.090155,0.072617,0.044299,0.353178,0.14539,0.054575,5
0.087596,0.072653,0.043177,0.386188,0.166018,0.065408,3
0.086492,0.072781,0.045391,0.336497,0.16607,0.070368,3
0.09114,0.072852,0.04437,0.352446,0.16853,0.068701,5
0.087301,0.072867,0.044145,0.360885,0.161556,0.064795,3
0.087047,0.072895,0.050389,0.3045,0.161899,0.077011,2
0.087616,0.073028,0.044101,0.327012,0.136887,0.053653,4
0.086379,0.07307,0.044402,0.35191,0.16044,0.063827,3
0.089106,0.073115,0.045265,0.323413,0.141814,0.057836,4
0.088596,0.073125,0.044023,0.342339,0.149704,0.06028,3
0.087943,0.073158,0.055965,0.251864,0.132137,0.069846,1
0.087866,0.07318,0.043795,0.338035,0.142516,0.055876,5
0.086903,0.073226,0.047571,0.324694,0.169996,0.075404,2
0.085944,0.073252,0.046313,0.323222,0.143344,0.060554,3
0.087004,0.073293,0.04388,0.369278,0.154556,0.060809,3
0.088083,0.073367,0.044165,0.370794,0.1604,0.063974,4
0.089857,0.073378,0.04827,0.357039,0.162912,0.070177,3
0.088727,0.073381,0.043979,0.355278,0.145946,0.057723,4
0.091403,0.073399,0.045579,0.347446,0.163729,0.06702,4
0.090247,0.073514,0.048101,0.317078,0.147879,0.064322,3
0.090506,0.073636,0.047226,0.307692,0.155967,0.064551,2
0.090061,0.073865,0.045131,0.369222,0.17492,0.069106,4
0.089065,0.073938,0.045365,0.382659,0.155654,0.062691,3
0.092745,0.07397,0.047363,0.343216,0.149539,0.058526,4
0.092778,0.074005,0.046792,0.335078,0.139777,0.055078,3
0.089636,0.074187,0.046456,0.348472,0.170716,0.070123,2
0.088892,0.074204,0.047902,0.363178,0.167323,0.069233,2
0.088316,0.074205,0.045033,0.374545,0.163247,0.06522,2
0.09195,0.074341,0.04886,0.306129,0.159599,0.068594,3
0.089278,0.074355,0.046175,0.353115,0.155037,0.062009,3
0.087005,0.074433,0.042149,0.382055,0.179886,0.070054,5
0.090099,0.074484,0.044329,0.386279,0.166657,0.0628,5
0.08952,0.074554,0.044898,0.353589,0.147924,0.059288,3
0.088052,0.074674,0.050361,0.315246,0.17305,0.078617,1
0.087132,0.074685,0.044396,0.385859,0.167096,0.066443,4
0.087079,0.074741,0.043171,0.403233,0.168726,0.066812,3
0.090248,0.074805,0.046022,0.394987,0.160347,0.063865,4
0.092334,0.074827,0.057253,0.291953,0.147307,0.068974,2
0.092535,0.074905,0.046352,0.36982,0.154834,0.060869,4
0.090182,0.075023,0.051802,0.304292,0.182354,0.083717,2
0.091285,0.075062,0.055723,0.325107,0.161112,0.076508,2
0.093163,0.075119,0.047255,0.348344,0.146819,0.056776,4
0.086778,0.075223,0.046757,0.34267,0.168067,0.072941,2
0.092691,0.07524,0.047325,0.334507,0.157566,0.064897,3
0.092266,0.075258,0.050135,0.325705,0.16323,0.074192,2
0.090208,0.075281,0.051438,0.35548,0.176481,0.076337,3
0.089197,0.075298,0.045733,0.369835,0.163609,0.065146,4
0.093816,0.075368,0.050288,0.313254,0.166899,0.072697,3
0.088597,0.075445,0.053892,0.313744,0.173005,0.079827,3
0.090474,0.075587,0.045833,0.365208,0.156086,0.062045,3
0.090936,0.075677,0.053845,0.289437,0.16004,0.080421,2
0.093025,0.075739,0.047938,0.331364,0.156205,0.064389,3
0.092346,0.075742,0.049219,0.347664,0.17699,0.074372,2
0.088707,0.075756,0.044505,0.366873,0.152648,0.059357,3
0.090596,0.075761,0.050887,0.351353,0.181837,0.080033,2
0.090561,0.075767,0.046149,0.343314,0.167247,0.069509,2
0.091,0.076008,0.045591,0.384949,0.167383,0.066826,4
0.090241,0.076017,0.050913,0.323303,0.174104,0.078833,2
0.092556,0.076038,0.048832,0.372612,0.170839,0.071263,4
0.088579,0.076115,0.052528,0.31767,0.151278,0.076086,3
0.090208,0.076188,0.046704,0.371898,0.158204,0.064807,3
0.091547,0.076274,0.053688,0.312281,0.193827,0.093498,2
0.093008,0.076276,0.059466,0.256063,0.206288,0.10532,1
0.091953,0.07631,0.061076,0.274715,0.21971,0.116293,2
0.089469,0.07638,0.046467,0.382234,0.170115,0.067807,2
0.088936,0.076386,0.046037,0.409802,0.180571,0.071178,2
0.089959,0.076421,0.047304,0.366938,0.172474,0.07232,3
0.094809,0.076653,0.050916,0.302447,0.171741,0.077211,2
0.0906,0.076657,0.052657,0.299783,0.185843,0.085999,2
0.091889,0.07669,0.0505,0.331237,0.179875,0.076878,3
0.090025,0.07676,0.047391,0.358336,0.172225,0.070868,2
0.089668,0.076876,0.046314,0.382078,0.168541,0.065953,3
0.089862,0.076939,0.04666,0.395943,0.172977,0.068906,2
0.090789,0.076997,0.059014,0.309274,0.169353,0.084749,2
0.090946,0.076997,0.052095,0.310496,0.164122,0.072685,2
0.092247,0.077091,0.061141,0.26742,0.16206,0.095349,1
0.091159,0.077199,0.050987,0.350159,0.192878,0.088535,2
0.094573,0.077223,0.054796,0.306638,0.176459,0.080071,3
0.092602,0.077304,0.055031,0.351719,0.186219,0.082701,2
0.088526,0.077422,0.047032,0.371899,0.182111,0.074589,2
0.090146,0.077482,0.046833,0.38437,0.179413,0.072653,2
0.092527,0.077618,0.057477,0.305015,0.181297,0.091847,2
0.093473,0.077662,0.047679,0.35522,0.166801,0.068506,2
0.096345,0.077956,0.056796,0.287723,0.169777,0.076627,1
0.093045,0.078195,0.058345,0.280153,0.165092,0.086105,1
0.09281,0.078247,0.059118,0.298339,0.160846,0.080062,2
0.089967,0.078281,0.046607,0.380751,0.179531,0.070846,2
0.090229,0.07835,0.050749,0.363192,0.18556,0.082746,2
0.090983,0.078378,0.050678,0.336362,0.186103,0.082091,2
0.09023,0.078526,0.047022,0.373354,0.17097,0.069746,2
0.090288,0.078767,0.056283,0.297922,0.162946,0.079587,3
0.091317,0.078842,0.055995,0.31499,0.206919,0.099679,1
0.092283,0.078947,0.058656,0.315906,0.189686,0.09018,2
0.090293,0.078964,0.048342,0.385407,0.181197,0.074322,3
0.089178,0.079026,0.047491,0.359492,0.175854,0.076133,2
0.089739,0.079087,0.04718,0.360997,0.168385,0.071208,2
0.090647,0.079337,0.053554,0.37911,0.194177,0.088294,2
0.093273,0.079362,0.066996,0.271196,0.234438,0.128259,1
0.096548,0.07947,0.057443,0.324516,0.187079,0.086857,1
0.091506,0.079513,0.046708,0.352805,0.169422,0.069324,3
0.094159,0.079623,0.065628,0.265932,0.21652,0.120245,1
0.093585,0.07963,0.059944,0.325498,0.19559,0.092798,1
0.093082,0.079687,0.056316,0.329105,0.213474,0.102821,2
0.095156,0.079903,0.058643,0.311399,0.190127,0.089678,2
0.090613,0.080089,0.048266,0.357316,0.187369,0.075959,2
0.094043,0.080137,0.059316,0.338231,0.218288,0.106412,2
0.096814,0.080211,0.071983,0.243776,0.24112,0.141743,1
0.093144,0.080384,0.059897,0.344218,0.208691,0.098101,1
0.091742,0.080565,0.061443,0.299308,0.180442,0.094535,2
0.091329,0.080661,0.053389,0.360935,0.209784,0.094486,1
0.091514,0.080685,0.053849,0.33416,0.187793,0.086681,2
0.095419,0.080738,0.063107,0.318422,0.204083,0.111958,2
0.09452,0.080952,0.064955,0.281396,0.207691,0.10912,1
0.090946,0.081027,0.056009,0.351473,0.21931,0.106325,1
0.094421,0.081093,0.065487,0.299255,0.252669,0.135005,1
0.097219,0.081481,0.05997,0.286265,0.158684,0.086134,2
0.090884,0.08153,0.04845,0.378676,0.182049,0.072119,2
0.091368,0.081692,0.054582,0.336383,0.219772,0.103586,1
0.092572,0.081744,0.061221,0.310389,0.214525,0.106313,1
0.09563,0.082143,0.066431,0.29098,0.198886,0.110801,2
0.091992,0.082494,0.057393,0.344703,0.216118,0.099901,1
0.096023,0.0825,0.073277,0.262811,0.265018,0.153899,1
0.091114,0.08251,0.052274,0.417078,0.223135,0.09957,1
0.094313,0.082693,0.060904,0.340914,0.208914,0.100739,2
0.0967,0.082796,0.07914,0.226122,0.23419,0.144096,1
0.093901,0.082952,0.05926,0.352132,0.225574,0.107891,1
0.092265,0.082981,0.057595,0.380818,0.208694,0.096148,2
0.096761,0.083004,0.066677,0.309931,0.196653,0.103328,2
0.091258,0.083159,0.052597,0.391058,0.216675,0.099176,1
0.092457,0.083305,0.059521,0.319919,0.222218,0.108661,1
0.101044,0.083435,0.086743,0.177782,0.227072,0.174708,1
0.093393,0.083462,0.05503,0.378048,0.230155,0.106706,1
0.091824,0.083808,0.054535,0.363345,0.213732,0.098674,1
0.100913,0.083821,0.086654,0.202089,0.231809,0.159963,1
0.094254,0.083918,0.058048,0.35536,0.223579,0.105326,1
0.092959,0.083937,0.066039,0.310678,0.188038,0.100119,1
0.098502,0.08404,0.063157,0.315247,0.198951,0.094936,1
0.094684,0.084299,0.069101,0.318144,0.261474,0.137441,1
0.098823,0.084607,0.078831,0.244824,0.26117,0.15263,1
0.094426,0.085011,0.063119,0.322656,0.230976,0.114857,1
0.092386,0.085162,0.05821,0.372656,0.226594,0.103754,1
0.097679,0.085298,0.068193,0.290878,0.2077,0.107098,2
0.098625,0.085526,0.080725,0.266216,0.280635,0.163683,1
0.101047,0.085659,0.06729,0.27942,0.203604,0.113324,1
0.098917,0.085809,0.079818,0.262337,0.258373,0.155106,1
0.097509,0.085861,0.079736,0.271018,0.239222,0.140077,1
0.092729,0.086472,0.057432,0.420098,0.229103,0.106495,1
0.100463,0.086668,0.075677,0.286192,0.204358,0.113794,1
0.098516,0.086689,0.064437,0.255545,0.139069,0.062746,1
0.098777,0.087463,0.082414,0.239291,0.208893,0.124668,1
0.095657,0.087913,0.062834,0.343307,0.234404,0.11124,1
0.100436,0.087984,0.084811,0.24165,0.270707,0.168314,1
0.100493,0.08859,0.091159,0.236272,0.27189,0.169948,1
0.103665,0.089089,0.095317,0.189945,0.249468,0.183239,1
0.102949,0.091102,0.09522,0.239534,0.270526,0.173969,1
0.10416,0.09123,0.098962,0.221486,0.276644,0.185646,1
0.098922,0.091729,0.081806,0.319148,0.278006,0.154786,1
0.101956,0.091763,0.081289,0.298411,0.253404,0.173253,1
0.09732,0.092322,0.07044,0.378014,0.254129,0.128335,1
0.099622,0.092935,0.079727,0.342247,0.287988,0.158276,1
0.109616,0.092952,0.090201,0.230842,0.212248,0.169096,1
0.10081,0.09302,0.086864,0.277927,0.217438,0.126835,1
0.105362,0.093087,0.081067,0.280763,0.195161,0.121176,1
0.10482,0.097189,0.103842,0.21819,0.208005,0.133461,1
